,frequency,phase
0,4835.9202408,-0.37025
1,4836.5004816,-0.370575
2,4837.6609632,-0.371225
3,4839.998044199999,-0.372529
4,4844.639970599998,-0.375153
5,4853.9399412,-0.380462
6,4872.556000199998,-0.391332
7,4912.882735800001,-0.416109
8,4950.5500344,-0.440847
9,4987.475914200001,-0.466739
10,5027.5286472,-0.49683
11,5064.9219432,-0.526979
12,5105.425974599999,-0.562139
13,5145.204704999999,-0.599451
14,5182.307880600001,-0.637034
15,5222.537909400001,-0.681186
16,5260.092383399999,-0.725991
17,5296.905438599999,-0.773718
18,5336.845347000001,-0.830351
19,5374.1258184,-0.888414
20,5414.5331430000015,-0.957961
21,5454.1990488,-1.03408
22,5491.189399800001,-1.11335
23,5531.306604,-1.21015
24,5568.7643712,-1.31279
25,5609.332873799999,-1.44053
26,5649.176075399999,-1.58694
27,5649.756316199999,-1.58925
28,5650.336557000001,-1.59157
29,5651.497038599999,-1.59623
30,5653.8341196,-1.60562
31,5658.476046,-1.62467
32,5667.7598988,-1.66394
33,5686.343722200001,-1.7475
34,5686.9723164,-1.75046
35,5687.600910599999,-1.75343
36,5688.858099000001,-1.75938
37,5691.3885936,-1.7714
38,5696.4173472,-1.79586
39,5706.490972199998,-1.84658
40,5726.638222199998,-1.95584
41,5727.2345808,-1.9592
42,5727.8148216,-1.96256
43,5728.991420999999,-1.96933
44,5731.344619800001,-1.98299
45,5736.051017400001,-2.0108
46,5745.4476948,-2.06856
47,5764.2732852,-2.19339
48,5764.8374082,-2.19743
49,5765.417649,-2.20148
50,5766.5781306,-2.20962
51,5768.882976,-2.22606
52,5773.4926668,-2.25962
53,5782.7120484,-2.32956
54,5783.2922892,-2.33407
55,5783.8564122,-2.33858
56,5785.0168938,-2.34767
57,5787.3217392,-2.36603
58,5791.9314300000015,-2.40354
59,5801.1508116,-2.48192
60,5801.7794058,-2.48741
61,5802.408,-2.49291
62,5803.6490706,-2.50399
63,5806.1473296,-2.52643
64,5811.1599654,-2.57242
65,5821.1530014,-2.6692
66,5821.7815956,-2.67547
67,5822.4101898,-2.68177
68,5823.6673782,-2.69445
69,5826.1656372,-2.72016
70,5831.1621552000015,-2.77295
71,5841.171309,-2.88447
72,5841.7515498,-2.89124
73,5842.331790599998,-2.89803
74,5843.50839,-2.91171
75,5845.8293532,-2.93943
76,5850.5035152,-2.99637
77,5859.8357214,-3.11672
78,5860.4159622,-3.12455
79,5860.9962030000015,-3.13241
80,5862.1728024,-3.14825
81,5864.5098834,-3.18038
82,5869.1679276,-3.24653
83,5878.500133799998,-3.38698
84,5879.1448458,-3.39692
85,5879.77344,-3.4069
86,5881.0306284,-3.42705
87,5883.561123,-3.46802
88,5888.6221122,-3.55284
89,5898.7440906,-3.73494
90,5899.3726848,-3.74691
91,5900.001279,-3.75896
92,5901.2745852,-3.78329
93,5903.8050798,-3.83285
94,5908.866069,-3.93581
95,5918.9719296,-4.15857
96,5919.6005238,-4.17303
97,5920.2130002,-4.18759
98,5921.4540708,-4.217
99,5923.9523298,-4.27704
100,5928.9166122,-4.40223
101,5929.529088599998,-4.41838
102,5930.157682800002,-4.43464
103,5931.3987534,-4.46752
104,5933.8808946,-4.53472
105,5938.845177,-4.67516
106,5939.4737712,-4.69331
107,5940.0862476,-4.7116
108,5941.327318199998,-4.7486
109,5943.8094594,-4.82432
110,5948.7737418,-4.98302
111,5958.7184244,-5.33301
112,5959.2825474,-5.35489
113,5959.8627882,-5.37696
114,5961.0232698,-5.42162
115,5963.344233,-5.51316
116,5967.9700416,-5.70561
117,5968.5502824,-5.73059
118,5969.1305232,-5.75579
119,5970.2910048,-5.80685
120,5972.611968,-5.91167
121,5977.2377766,-6.13283
122,5977.8180174,-6.16162
123,5978.3982582,-6.19068
124,5979.5587398,-6.2496
125,5981.879703,-6.37082
126,5986.5055116,-6.62765
127,5987.0857524,-6.66119
128,5987.665993199998,-6.69506
129,5988.8264748,-6.76384
130,5991.131320199999,-6.90564
131,5995.7732466,-7.20751
132,5996.4018408,-7.25044
133,5997.030435,-7.29387
134,5998.2876234,-7.38229
135,6000.7858824,-7.56562
136,6005.814636,-7.96051
137,6006.4432302,-8.01274
138,6007.0718244,-8.065649999999998
139,6008.3290128,-8.17356
140,6010.8433896,-8.39813
141,6015.8721432,-8.88578
142,6016.4846196,-8.95068
143,6017.1132138,-9.01652
144,6018.3704022,-9.1511
145,6020.884779,-9.4325
146,6021.5133732,-9.50552
147,6022.1419674,-9.57968
148,6023.3991558,-9.73144
149,6025.9135326,-10.0496
150,6026.5421268,-10.1324
151,6027.170721,-10.216500000000002
152,6028.4279094,-10.389
153,6030.9422862,-10.7516
154,6035.954922,-11.5569
155,6036.5512806,-11.6586
156,6037.1315214,-11.762200000000004
157,6038.3081208,-11.9747
158,6040.6452018,-12.4232
159,6041.2415604,-12.5406
160,6041.821801200002,-12.660100000000003
161,6042.9984006,-12.906
162,6045.335481599999,-13.4268
163,6045.9318402,-13.5635
164,6046.512081,-13.703
165,6047.6886804,-13.9905
166,6050.025761399998,-14.6023
167,6050.6060022,-14.7635
168,6051.2023608,-14.9282
169,6052.3789602,-15.2685
170,6054.7160412,-15.9967
171,6055.296281999998,-16.1894
172,6055.8926406,-16.3866
173,6057.06924,-16.7955
174,6059.406321,-17.6753
175,6059.9865618,-17.9094
176,6060.5829204,-18.1495
177,6061.743402,-18.6489
178,6064.0966008,-19.7311
179,6064.6768416,-20.0208
180,6065.2732002,-20.3187
181,6066.433681799998,-20.9406
182,6067.0300404,-21.2654
183,6067.6102812,-21.5999
184,6068.7868806,-22.2998
185,6069.3671214,-22.6661
186,6069.96348,-23.0439
187,6071.123961599998,-23.8364
188,6073.4771604,-25.5851
189,6074.0412834,-26.0507
190,6074.6215242,-26.5323
191,6075.765888,-27.5466
192,6076.3461288,-28.081
193,6076.9263696,-28.6347
194,6078.0707334,-29.8041
195,6078.6509742,-30.4219
196,6079.2150972,-31.0631
197,6080.3755788,-32.4211
198,6082.6643064,-35.4771
199,6083.2445472,-36.3206
200,6083.824788,-37.1994
201,6084.9691518,-39.0698
202,6085.5493926,-40.0653
203,6086.1135156,-41.1037
204,6087.2739972,-43.3175
205,6087.8381202,-44.4973
206,6088.418361,-45.7287
207,6089.5627248,-48.3553
208,6091.867570199999,-54.3231
209,6092.431693199998,-55.975
210,6093.011934,-57.6938
211,6094.1562978,-61.335
212,6096.461143199998,-69.4225
213,6097.041384,-71.6023
214,6097.605507,-73.8386
215,6098.765988599999,-78.4607
216,6101.054716199998,-88.1152
217,6101.634957,-90.5675
218,6102.19908,-93.0179
219,6103.359561599998,-97.8768
220,6105.6482892,-107.203
221,6106.22853,-109.414
222,6106.8087708,-111.566
223,6107.9531346,-115.682
224,6110.25798,-123.11000000000003
225,6110.8704564,-124.938
226,6111.4990506,-126.688
227,6112.7401212,-129.963
228,6113.3687154,-131.491
229,6113.9973096,-132.951
230,6115.2383802,-135.675
231,6115.8669744,-136.945
232,6116.4794508,-138.158
233,6117.7366392,-140.422
234,6118.3652334,-141.478
235,6118.9777098,-142.48800000000003
236,6120.2348982,-144.377
237,6120.8473746,-145.261
238,6121.4759688,-146.107
239,6122.7170394,-147.695
240,6123.3456336,-148.44
241,6123.9742278,-149.154
242,6125.2152984,-150.499
243,6125.8438926,-151.133
244,6126.456369,-151.741
245,6127.7135574,-152.891
246,6130.2118164,-154.947
247,6130.8242928,-155.417
248,6131.452887,-155.87
249,6132.6939576,-156.72999999999996
250,6133.3225518,-157.139
251,6133.951146,-157.535
252,6135.1922166,-158.288
253,6135.8208108,-158.647
254,6136.4332872,-158.995
255,6137.6904756,-159.659
256,6140.1887346,-160.874
257,6140.801211,-161.156
258,6141.4298052,-161.43
259,6142.6708758,-161.95599999999996
260,6145.1691348,-162.926
261,6145.797729,-163.153
262,6146.4102054,-163.374
263,6147.6673938,-163.8
264,6150.1656528,-164.591
265,6150.7458936,-164.765
266,6151.326134399998,-164.935
267,6152.486616,-165.264
268,6154.8075792,-165.883
269,6155.38782,-166.029
270,6155.9680608,-166.173
271,6157.1446602,-166.452
272,6159.4656234,-166.978
273,6160.0458642,-167.103
274,6160.6261049999985,-167.226
275,6161.7865866,-167.466
276,6164.1236676,-167.919
277,6168.7817118,-168.734
278,6169.361952599998,-168.829
279,6169.9421934,-168.922
280,6171.102675,-169.103
281,6173.4236382,-169.449
282,6178.0816824,-170.079
283,6178.6619232,-170.153
284,6179.242164,-170.225
285,6180.4026456,-170.367
286,6182.7397266,-170.639
287,6187.3977708,-171.141
288,6188.026365,-171.205
289,6188.6549592,-171.268
290,6189.9121476,-171.391
291,6192.4426422,-171.628
292,6197.4875136,-172.064
293,6198.1161078,-172.116
294,6198.744702,-172.167
295,6200.0018904,-172.266
296,6202.532385,-172.459
297,6207.5772564,-172.816
298,6208.2058506,-172.858
299,6208.8344448,-172.9
300,6210.0916332,-172.982
301,6212.622127799998,-173.141
302,6217.6669992,-173.439
303,6227.756742,-173.964
304,6228.3369828,-173.993
305,6228.9333414,-174.02
306,6230.1099408,-174.07499999999996
307,6232.4631396,-174.182
308,6237.1695372,-174.386
309,6237.7658958,-174.41
310,6238.3622544,-174.434
311,6239.5388538,-174.482
312,6241.892052599998,-174.57499999999996
313,6246.5984502,-174.753
314,6247.1948088,-174.774
315,6247.7750496,-174.795
316,6248.951649,-174.83699999999996
317,6251.3048478,-174.919
318,6256.0273632,-175.076
319,6265.4401584,-175.362
320,6266.0203992000015,-175.379
321,6266.60064,-175.395
322,6267.7611216,-175.428
323,6270.065967,-175.491
324,6274.6756578,-175.613
325,6283.927275,-175.839
326,6284.491397999999,-175.853
327,6285.0716388,-175.866
328,6286.2321204,-175.892
329,6288.5369658,-175.944
330,6293.1627744,-176.044
331,6302.3982738,-176.22999999999996
332,6303.026868,-176.242
333,6303.6554622,-176.254
334,6304.8965328,-176.277
335,6307.4109096,-176.324
336,6312.4235454,-176.413
337,6322.4326992,-176.58099999999996
338,6323.061293399999,-176.591
339,6323.6898876,-176.6
340,6324.947076,-176.62
341,6327.445335,-176.659
342,6332.457970799999,-176.734
343,6342.4832424,-176.874
344,6343.0634832,-176.882
345,6343.643724,-176.89
346,6344.820323399998,-176.905
347,6347.1574044,-176.936
348,6351.8315664,-176.995
349,6361.1798904,-177.108
350,6361.7601312,-177.115
351,6362.3564898,-177.122
352,6363.5169714,-177.135
353,6365.8540524,-177.161
354,6370.5282144,-177.213
355,6379.8926562,-177.311
356,6380.5212504,-177.318
357,6381.1498446,-177.324
358,6382.423150799998,-177.33699999999996
359,6384.9536454,-177.362
360,6390.0146346,-177.41
361,6400.1527308,-177.503
362,6400.781325,-177.509
363,6401.426037,-177.514
364,6402.6832254,-177.525
365,6405.213720000002,-177.547
366,6410.290827,-177.59
367,6420.4289232,-177.671
368,6421.0413996,-177.676
369,6421.6699938,-177.681
370,6422.9110644,-177.691
371,6425.3932056,-177.71
372,6430.3736058,-177.747
373,6440.3182884,-177.818
374,6460.2237714,-177.948
375,6460.8040122,-177.952
376,6461.384252999998,-177.955
377,6462.5447346,-177.96199999999996
378,6464.8656978,-177.977
379,6469.5076242,-178.004
380,6478.791477000002,-178.058
381,6497.3430648,-178.158
382,6497.971659,-178.161
383,6498.600253199998,-178.164
384,6499.8574416,-178.171
385,6502.3718184,-178.183
386,6507.4166898,-178.208
387,6517.474197,-178.256
388,6537.6053292,-178.346
389,6575.1920388,-178.494
390,6612.0212118,-178.62
391,6652.009473599999,-178.738
392,6689.3060628,-178.834
393,6689.950774800001,-178.835
394,6690.5954868,-178.83699999999996
395,6691.901028599998,-178.84
396,6694.512112199999,-178.846
397,6699.7181616,-178.859
398,6710.1141426,-178.883
399,6710.7749724,-178.884
400,6711.419684399999,-178.886
401,6712.7252262,-178.889
402,6715.320192,-178.895
403,6720.5262414,-178.906
404,6721.1870712,-178.908
405,6721.8317832,-178.909
406,6723.137325,-178.912
407,6725.7322908,-178.918
408,6726.393120599999,-178.919
409,6727.037832600001,-178.92
410,6728.3433744,-178.923
411,6728.9880864,-178.925
412,6729.6327984,-178.926
413,6730.2936282,-178.927
414,6730.9383402,-178.929
